Day,A,B,C
Proper 24,"Exodus 33:12-23;Psalm 96:1-9,(10-13);Psalm 99;Isaiah 45:1-7;Matthew 22:15-22;1 Thessalonians 1:1-10","Job 38:1-7,(34-41);Psalm 91:9-16;Psalm 104:1-9,25,37b;Isaiah 53:4-12;Mark 10:35-45;Hebrews 5:1-10",Genesis 32:22-31;Psalm 119:97-104;Psalm 121;Jeremiah 31:27-34;Luke 18:1-8;2 Timothy 3:14—4:5
Proper 25,"Leviticus 19:1-2,15-18;Deuteronomy 34:1-12;Psalm 1;Psalm 90:1-6,13-17;Matthew 22:34-46;1 Thessalonians 2:1-8","Job 42:1-6,10-17;Psalm 34:1-8,(19-22);Psalm 126;Jeremiah 31:7-9;Mark 10:46-52;Hebrews 7:23-28","Psalm 65;Psalm 84:1-6;Jeremiah 14:7-10,19-22;Joel 2:23-32;Sirach (Ecclesiasticus) 35:12-17;Luke 18:9-14;2 Timothy 4:6-8,16-18"
Proper 26,"Joshua 3:7-17;Psalm 43;Psalm 107:1-7,33-37;Micah 3:5-12;Matthew 23:1-12;1 Thessalonians 2:9-13",Deuteronomy 6:1-9;Ruth 1:1-18;Psalm 119:1-8;Psalm 146;Mark 12:28-34;Hebrews 9:11-14,"Psalm 32:1-8;Psalm 119:137-144;Isaiah 1:10-18;Habakkuk 1:1-4,2:1-4;Luke 19:1-10;2 Thessalonians 1:1-4,11-12"
Proper 27,"Joshua 24:1-3a,14-25;Psalm 70;Psalm 78:1-7;Amos 5:18-24;Wisdom of Solomon 6:12-16;Wisdom of Solomon 6:17-20;Matthew 25:1-13;1 Thessalonians 4:13-18",Ruth 3:1-5;4:13-17;1 Kings 17:8-16;Psalm 127;Psalm 146;Mark 12:38-44;Hebrews 9:24-28,"Job 19:23-27a;Psalm 17:1-9;Psalm 98;Psalm 145:1-5,18-22;Haggai 1:15b—2:9;Luke 20:27-38;2 Thessalonians 2:1-5,13-17"
Proper 28,"Judges 4:1-7;Psalm 90:1-8,(9-11),12;Psalm 123;Zephaniah 1:7,12-18;Matthew 25:14-30;1 Thessalonians 5:1-11",1 Samuel 1:4-20;1 Samuel 2:1-10;Psalm 16;Daniel 12:1-3;Mark 13:1-8;Hebrews 10:11-14 (15-18)19-25,Psalm 98;Isaiah 65:17-25;Malachi 4:1-2a;Luke 21:5-19;2 Thessalonians 3:6-13;Canticle 9
Proper 29,"Psalm 95:1-7a;Psalm 100;Ezekiel 34:11-16,20-24;Matthew 25:31-46;Ephesians 1:15-23","2 Samuel 23:1-7;Psalm 93;Psalm 132:1-13,(14-19);Daniel 7:9-10,13-14;John 18:33-37;Revelation 1:4b-8",Psalm 46;Jeremiah 23:1-6;Luke 23:33-43;Colossians 1:11-20;Canticle 4;Canticle 16
St Andrew,Deuteronomy 30:11-14;Psalm 19;Matthew 4:18-22;Romans 10:8b-18,Deuteronomy 30:11-14;Psalm 19;Matthew 4:18-22;Romans 10:8b-18,Deuteronomy 30:11-14;Psalm 19;Matthew 4:18-22;Romans 10:8b-18
St Barnabas,Psalm 112;Isaiah 42:5-12;Matthew 10:7-16;Acts 11:19-30; 13:1-3,Psalm 112;Isaiah 42:5-12;Matthew 10:7-16;Acts 11:19-30; 13:1-3,Psalm 112;Isaiah 42:5-12;Matthew 10:7-16;Acts 11:19-30; 13:1-3
St Bartholomew,Deuteronomy 18:15-18;Psalm 91;Luke 22:24-30;1 Corinthians 4:9-15,Deuteronomy 18:15-18;Psalm 91;Luke 22:24-30;1 Corinthians 4:9-15,Deuteronomy 18:15-18;Psalm 91;Luke 22:24-30;1 Corinthians 4:9-15
St James,Psalm 7:1-10;Jeremiah 45:1-5;Matthew 20:20-28;Acts 11:27––12:3,Psalm 7:1-10;Jeremiah 45:1-5;Matthew 20:20-28;Acts 11:27––12:3,Psalm 7:1-10;Jeremiah 45:1-5;Matthew 20:20-28;Acts 11:27––12:3
St James of Jerusalem,Psalm 1;Matthew 13:54-58;Acts 15:12-22a;1 Corinthians 15:1-11,Psalm 1;Matthew 13:54-58;Acts 15:12-22a;1 Corinthians 15:1-11,Psalm 1;Matthew 13:54-58;Acts 15:12-22a;1 Corinthians 15:1-11
St John,Exodus 33:18-23;Psalm 92;John 21:19b-24;1 John 1:1-9,Exodus 33:18-23;Psalm 92;John 21:19b-24;1 John 1:1-9,Exodus 33:18-23;Psalm 92;John 21:19b-24;1 John 1:1-9
St Joseph,"2 Samuel 7:4,8-16;Psalm 89:1-29;Luke 2:41-52;Romans 4:13-18","2 Samuel 7:4,8-16;Psalm 89:1-29;Luke 2:41-52;Romans 4:13-18","2 Samuel 7:4,8-16;Psalm 89:1-29;Luke 2:41-52;Romans 4:13-18"
St Luke,"Psalm 147;Sirach (Ecclesiasticus) 38:1-4, 6-10,12-14;Luke 4:14-21;2 Timothy 4:5-13","Psalm 147;Sirach (Ecclesiasticus) 38:1-4, 6-10,12-14;Luke 4:14-21;2 Timothy 4:5-13","Psalm 147;Sirach (Ecclesiasticus) 38:1-4, 6-10,12-14;Luke 4:14-21;2 Timothy 4:5-13"
St Mark,"Psalm 2;Isaiah 52:7-10;Mark 1:1-15;Mark 16:15-20;Ephesians 4:7-8,11-16","Psalm 2;Isaiah 52:7-10;Mark 1:1-15;Mark 16:15-20;Ephesians 4:7-8,11-16","Psalm 2;Isaiah 52:7-10;Mark 1:1-15;Mark 16:15-20;Ephesians 4:7-8,11-16"
St Mary Magdalene,"Psalm 42:1-7;Judith 9:1,11-14;John 20:11-18;2 Corinthians 5:14-18","Psalm 42:1-7;Judith 9:1,11-14;John 20:11-18;2 Corinthians 5:14-18","Psalm 42:1-7;Judith 9:1,11-14;John 20:11-18;2 Corinthians 5:14-18"
St Mary the Virgin,Psalm 34;Isaiah 61:10-11;Luke 1:46-55;Galatians 4:4-7,Psalm 34;Isaiah 61:10-11;Luke 1:46-55;Galatians 4:4-7,Psalm 34;Isaiah 61:10-11;Luke 1:46-55;Galatians 4:4-7
St Matthew,Psalm 119:33-40;Proverbs 3:1-6;Matthew 9:9-13;2 Timothy 3:14-17,Psalm 119:33-40;Proverbs 3:1-6;Matthew 9:9-13;2 Timothy 3:14-17,Psalm 119:33-40;Proverbs 3:1-6;Matthew 9:9-13;2 Timothy 3:14-17
St Matthias,"Psalm 15;John 15:1,6-16;Acts 1:15-26;Philippians 3:13b-21","Psalm 15;John 15:1,6-16;Acts 1:15-26;Philippians 3:13b-21","Psalm 15;John 15:1,6-16;Acts 1:15-26;Philippians 3:13b-21"
St Michael & All Angels,Genesis 28:10-17;Psalm 103;John 1:47-51;Revelation 12:7-12,Genesis 28:10-17;Psalm 103;John 1:47-51;Revelation 12:7-12,Genesis 28:10-17;Psalm 103;John 1:47-51;Revelation 12:7-12
St Peter & St Paul,Psalm 87;Ezekiel 34:11-16;John 21:15-19;2 Timothy 4:1-8,Psalm 87;Ezekiel 34:11-16;John 21:15-19;2 Timothy 4:1-8,Psalm 87;Ezekiel 34:11-16;John 21:15-19;2 Timothy 4:1-8
St Philip & St James,Psalm 119:33-40;Isaiah 30:18-21;John 14:6-14;2 Corinthians 4:1-6,Psalm 119:33-40;Isaiah 30:18-21;John 14:6-14;2 Corinthians 4:1-6,Psalm 119:33-40;Isaiah 30:18-21;John 14:6-14;2 Corinthians 4:1-6
St Simon & St Jude,Deuteronomy 32:1-4;Psalm 119:89-96;John 15:17-27;Ephesians 2:13-22,Deuteronomy 32:1-4;Psalm 119:89-96;John 15:17-27;Ephesians 2:13-22,Deuteronomy 32:1-4;Psalm 119:89-96;John 15:17-27;Ephesians 2:13-22
St Stephen,"Psalm 31;Jeremiah 26:1-9,12-15;Matthew 23:34-39;Acts 6:8––7:2a,51c-60","Psalm 31;Jeremiah 26:1-9,12-15;Matthew 23:34-39;Acts 6:8––7:2a,51c-60","Psalm 31;Jeremiah 26:1-9,12-15;Matthew 23:34-39;Acts 6:8––7:2a,51c-60"
St Thomas,Psalm 126;Habakkuk 2:1-4;John 20:24-29;Hebrews 10:35––11:1,Psalm 126;Habakkuk 2:1-4;John 20:24-29;Hebrews 10:35––11:1,Psalm 126;Habakkuk 2:1-4;John 20:24-29;Hebrews 10:35––11:1
Thanksgiving Day,Deuteronomy 8:7-18;Psalm 65;Luke 17:11-19;2 Corinthians 9:6-15,Psalm 126;Joel 2:21-27;Matthew 6:25-33;1 Timothy 2:1-7,Deuteronomy 26:1-11;Psalm 100;John 6:25-35;Philippians 4:4-9
The Annunciation,Psalm 40:5-10;Psalm 45;Isaiah 7:10-14;Luke 1:26-38;Hebrews 10:4-10;Canticle 3;Canticle 15,Psalm 40:5-10;Psalm 45;Isaiah 7:10-14;Luke 1:26-38;Hebrews 10:4-10;Canticle 3;Canticle 15,Psalm 40:5-10;Psalm 45;Isaiah 7:10-14;Luke 1:26-38;Hebrews 10:4-10;Canticle 3;Canticle 15
The Presentation,Psalm 24:7-10;Psalm 84;Malachi 3:1-4;Luke 2:22-40;Hebrews 2:14-18,Psalm 24:7-10;Psalm 84;Malachi 3:1-4;Luke 2:22-40;Hebrews 2:14-18,Psalm 24:7-10;Psalm 84;Malachi 3:1-4;Luke 2:22-40;Hebrews 2:14-18
The Transfiguration,Exodus 34:29-35;Psalm 99;Luke 9:28-36;2 Peter 1:13-21,Exodus 34:29-35;Psalm 99;Luke 9:28-36;2 Peter 1:13-21,Exodus 34:29-35;Psalm 99;Luke 9:28-36;2 Peter 1:13-21
The Visitation,1 Samuel 2:1-10;Psalm 113;Luke 1:39-57;Romans 12:9-16b,1 Samuel 2:1-10;Psalm 113;Luke 1:39-57;Romans 12:9-16b,1 Samuel 2:1-10;Psalm 113;Luke 1:39-57;Romans 12:9-16b
Confession of St Peter,Psalm 23;Matthew 16:13-19;Acts 4:8-13;1 Peter 5:1-4,Psalm 23;Matthew 16:13-19;Acts 4:8-13;1 Peter 5:1-4,Psalm 23;Matthew 16:13-19;Acts 4:8-13;1 Peter 5:1-4
Conversion of St Paul,Psalm 67;Matthew 10:16-22;Acts 26:9-21;Galatians 1:11-24,Psalm 67;Matthew 10:16-22;Acts 26:9-21;Galatians 1:11-24,Psalm 67;Matthew 10:16-22;Acts 26:9-21;Galatians 1:11-24
Holy Cross Day,Psalm 98;Isaiah 45:21-25;John 12:31-36a;Galatians 6:14-18;Philippians 2:5-11,Psalm 98;Isaiah 45:21-25;John 12:31-36a;Galatians 6:14-18;Philippians 2:5-11,Psalm 98;Isaiah 45:21-25;John 12:31-36a;Galatians 6:14-18;Philippians 2:5-11
Holy Innocents,Psalm 124;Jeremiah 31:15-17;Matthew 2:13-18;Revelation 21:1-7,Psalm 124;Jeremiah 31:15-17;Matthew 2:13-18;Revelation 21:1-7,Psalm 124;Jeremiah 31:15-17;Matthew 2:13-18;Revelation 21:1-7
Holy Name,Numbers 6:22-27;Psalm 8;Luke 2:15-21;Galatians 4:4-7;Philippians 2:5-11,,
Holy Saturday,"Job 14:1-14;Psalm 31:1-4,15-16;Lamentations 3:1-9,19-24;Matthew 27:57-66;John 19:38-42;1 Peter 4:1-8","Job 14:1-14;Psalm 31:1-4,15-16;Lamentations 3:1-9,19-24;Matthew 27:57-66;John 19:38-42;1 Peter 4:1-8","Job 14:1-14;Psalm 31:1-4,15-16;Lamentations 3:1-9,19-24;Matthew 27:57-66;John 19:38-42;1 Peter 4:1-8"
Independence Day,Deuteronomy 10:17-21;Psalm 145;Matthew 5:43-48;Hebrews 11:8-16,Deuteronomy 10:17-21;Psalm 145;Matthew 5:43-48;Hebrews 11:8-16,Deuteronomy 10:17-21;Psalm 145;Matthew 5:43-48;Hebrews 11:8-16
Nativity of St John the Baptist,Psalm 85;Isaiah 40:1-11;Luke 1:57-80;Acts 13:14b-26,Psalm 85;Isaiah 40:1-11;Luke 1:57-80;Acts 13:14b-26,Psalm 85;Isaiah 40:1-11;Luke 1:57-80;Acts 13:14b-26
